TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
PAM <*> more authentication failures; logname= uid=<*> euid=0 tty=ssh ruser= rhost=<*>  user=<*>,"['PAM', '<*>', 'more', 'authentication', 'failures', ';', 'logname', '=', 'uid', '=', '<*>', 'euid', '=', '0', 'tty', '=', 'ssh', 'ruser', '=', 'rhost', '=', '<*>', 'user', '=', '<*>']","{1: 'Object::ValueExpression', 10: 'Object::User', 21: 'Location::URL', 24: 'Object::User'}",PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,openssh
PAM service(sshd) ignoring max retries; <*> > <*>,"['PAM', 'service', '(', 'sshd', ')', 'ignoring', 'max', 'retries', ';', '<*>', '>', '<*>']","{9: 'Object::ValueExpression', 11: 'Object::ValueExpression'}",PAM service(sshd) ignoring max retries; 6 > 3,openssh
Did not receive identification string from <*>,"['Did', 'not', 'receive', 'identification', 'string', 'from', '<*>']",{6: 'Location::IP-Port::IP'},Did not receive identification string from 123.235.32.19,openssh
error: Received disconnect from <*>: <*>: <*>: Auth fail [preauth],"['error', ':', 'Received', 'disconnect', 'from', '<*>', ':', '<*>', ':', '<*>', ':', 'Auth', 'fail', '[', 'preauth', ']']","{9: 'Object', 7: 'Object::ValueExpression', 5: 'Location::IP-Port::IP'}",error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],openssh
Received disconnect from 103.207.39.165: 11: Closed due to user request. [preauth],"['Received', 'disconnect', 'from', '103.207.39.165', ':', '11', ':', 'Closed', 'due', 'to', 'user', 'request', '.', '[', 'preauth', ']']",{},Received disconnect from 103.207.39.165: 11: Closed due to user request. [preauth],openssh
PAM <*> more authentication <*>; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,"['PAM', '<*>', 'more', 'authentication', '<*>', ';', 'logname', '=', 'uid', '=', '<*>', 'euid', '=', '<*>', 'tty', '=', '<*>', 'ruser', '=', 'rhost', '=', '<*>']","{1: 'Object::ValueExpression', 10: 'Object::User', 13: 'Object::User', 21: 'Location::IP-Port::IP'}",PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,openssh
Received disconnect from <*>: <*>: Closed due to user request. [preauth],"['Received', 'disconnect', 'from', '<*>', ':', '<*>', ':', 'Closed', 'due', 'to', 'user', 'request', '.', '[', 'preauth', ']']","{3: 'Location::IP-Port::IP', 5: 'Object::ValueExpression'}",Received disconnect from 103.207.39.212: 11: Closed due to user request. [preauth],openssh
error: Received disconnect from <*>: <*>: No more user authentication methods available. [preauth],"['error', ':', 'Received', 'disconnect', 'from', '<*>', ':', '<*>', ':', 'No', 'more', 'user', 'authentication', 'methods', 'available', '.', '[', 'preauth', ']']","{5: 'Location::IP-Port::IP', 7: 'Object::ValueExpression'}",error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],openssh
Accepted password for <*> from <*> port <*> ssh2,"['Accepted', 'password', 'for', '<*>', 'from', '<*>', 'port', '<*>', 'ssh2']","{3: 'Object::User', 5: 'Location::IP-Port::IP', 7: 'Location::IP-Port::Port'}",Accepted password for fztu from 119.137.62.142 port 49116 ssh2,openssh
pam_unix(sshd:session): session opened for user <*> by (uid=<*>),"['pam_unix', '(', 'sshd', ':', 'session', ')', ':', 'session', 'opened', 'for', 'user', '<*>', 'by', '(', 'uid', '=', '<*>', ')']","{11: 'Object::User', 16: 'Object::User'}",pam_unix(sshd:session): session opened for user fztu by (uid=0),openssh
Received disconnect from <*>: <*>: disconnected by user,"['Received', 'disconnect', 'from', '<*>', ':', '<*>', ':', 'disconnected', 'by', 'user']","{3: 'Location::IP-Port::IP', 5: 'Object::ValueExpression'}",Received disconnect from 119.137.62.142: 11: disconnected by user,openssh
pam_unix(sshd:session): session closed for user <*>,"['pam_unix', '(', 'sshd', ':', 'session', ')', ':', 'session', 'closed', 'for', 'user', '<*>']",{11: 'Object::User'},pam_unix(sshd:session): session closed for user fztu,openssh
fatal: Write failed: Connection reset by peer [preauth],"['fatal', ':', 'Write', 'failed', ':', 'Connection', 'reset', 'by', 'peer', '[', 'preauth', ']']",{},fatal: Write failed: Connection reset by peer [preauth],openssh
<*>:<*> open through proxy <*>:<*> <*>,"['<*>', ':', '<*>', 'open', 'through', 'proxy', '<*>', ':', '<*>', '<*>']","{0: 'Location::URL', 2: 'Location::IP-Port::Port', 6: 'Location::URL', 8: 'Location::IP-Port::Port', 9: 'Other::ClosedSet'}",proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,proxifier
"<*>:<*> close, <*> <*> sent, <*> <*> received, lifetime <*><*><*>","['<*>', ':', '<*>', 'close', ',', '<*>', '<*>', 'sent', ',', '<*>', '<*>', 'received', ',', 'lifetime', '<*>', '<*>', '<*>']","{0: 'Location::URL', 2: 'Location::IP-Port::Port', 5: 'Object::ValueExpression', 9: 'Object::ValueExpression', 14: 'Time::Duration', 15: 'Time::Duration', 16: 'Time::Duration', 6: 'Object::ValueExpression', 10: 'Object::ValueExpression'}","proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",proxifier
<*>:<*> error : A connection request was canceled before the completion.,"['<*>', ':', '<*>', 'error', ':', 'A', 'connection', 'request', 'was', 'canceled', 'before', 'the', 'completion.']","{0: 'Location::URL', 2: 'Location::IP-Port::Port'}",tcpconn6.tencent.com:443 error : A connection request was canceled before the completion.,proxifier
<*>:<*> error : Could not connect through proxy <*>:<*> - Proxy closed the connection unexpectedly.,"['<*>', ':', '<*>', 'error', ':', 'Could', 'not', 'connect', 'through', 'proxy', '<*>', ':', '<*>', '-', 'Proxy', 'closed', 'the', 'connection', 'unexpectedly.']","{0: 'Location::URL', 2: 'Location::IP-Port::Port', 10: 'Location::URL', 12: 'Location::IP-Port::Port'}",tcpconn4.tencent.com:80 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy closed the connection unexpectedly.,proxifier
"<*>:<*> error : Could not connect through proxy <*>:<*> - Proxy server cannot establish a connection with the target, status code <*>","['<*>', ':', '<*>', 'error', ':', 'Could', 'not', 'connect', 'through', 'proxy', '<*>', ':', '<*>', '-', 'Proxy', 'server', 'cannot', 'establish', 'a', 'connection', 'with', 'the', 'target', ',', 'status', 'code', '<*>']","{0: 'Location::URL', 2: 'Location::IP-Port::Port', 10: 'Location::URL', 12: 'Location::IP-Port::Port', 26: 'Other::ClosedSet'}","formi.baidu.com:843 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",proxifier
<*>:<*> error : Could not connect to proxy <*>:<*> - Could not resolve <*> error <*>,"['<*>', ':', '<*>', 'error', ':', 'Could', 'not', 'connect', 'to', 'proxy', '<*>', ':', '<*>', '-', 'Could', 'not', 'resolve', '<*>', 'error', '<*>']","{0: 'Location::IP-Port::IP', 2: 'Location::IP-Port::Port', 10: 'Location::URL', 12: 'Location::IP-Port::Port', 17: 'Location::URL', 19: 'Other::ClosedSet'}",223.167.104.147:80 error : Could not connect to proxy proxy.cse.cuhk.edu.hk:5070 - Could not resolve proxy.cse.cuhk.edu.hk error 11001,proxifier
<*>:<*> error : Could not connect to proxy <*>:<*> - connection attempt failed with error <*>,"['<*>', ':', '<*>', 'error', ':', 'Could', 'not', 'connect', 'to', 'proxy', '<*>', ':', '<*>', '-', 'connection', 'attempt', 'failed', 'with', 'error', '<*>']","{0: 'Location::URL', 2: 'Location::IP-Port::Port', 10: 'Location::URL', 12: 'Location::IP-Port::Port', 19: 'Other::ClosedSet'}",qa.sockets.stackexchange.com:443 error : Could not connect to proxy proxy.cse.cuhk.edu.hk:5070 - connection attempt failed with error 10061,proxifier
Component State Change: Component <*><*><*><*><*> is in the unavailable state (HWID=<*>),"['Component', 'State', 'Change', ':', 'Component', '<*>', '<*>', '<*>', '<*>', '<*>', 'is', 'in', 'the', 'unavailable', 'state', '(', 'HWID', '=', '<*>', ')']","{5: 'Object::ComputingResource', 6: 'Object::ComputingResource', 7: 'Object::ComputingResource', 8: 'Object::ComputingResource', 9: 'Object::ComputingResource'}",Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),hpc
<*>  (command <*>),"['<*>', '(', 'command', '<*>', ')']","{0: 'Other::ClosedSet', 3: 'Other::ClosedSet'}",clusterAddMember  (command 1902),hpc
Command has completed successfully,"['Command', 'has', 'completed', 'successfully']",{},Command has completed successfully,hpc
Targeting domains:<*> and nodes:<*><*><*><*> child of command <*>,"['Targeting', 'domains', ':', '<*>', 'and', 'nodes', ':', '<*>', '<*>', '<*>', '<*>', 'child', 'of', 'command', '<*>']","{3: 'Object::ComputingResource', 14: 'Other::ClosedSet'}",Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,hpc
Targeting domains:<*> and nodes:<*><*><*> <*> <*><*>,"['Targeting', 'domains', ':', '<*>', 'and', 'nodes', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",{},Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],hpc
Targeting domains:<*> and nodes:<*>,"['Targeting', 'domains', ':', '<*>', 'and', 'nodes', ':', '<*>']",{},Targeting domains:node-D0 and nodes:node-0,hpc
psu failure\ ambient=<*>,"['psu', 'failure\\', 'ambient', '=', '<*>']",{},psu failure\ ambient=28,hpc
Temperature (<*>) exceeds warning threshold,"['Temperature', '(', '<*>', ')', 'exceeds', 'warning', 'threshold']",{2: 'Object::ValueExpression'},Temperature (41C) exceeds warning threshold,hpc
ClusterFileSystem: There is no server for ServerFileSystem domain <*>,"['ClusterFileSystem', ':', 'There', 'is', 'no', 'server', 'for', 'ServerFileSystem', 'domain', '<*>']",{9: 'Object::ComputingResource'},ClusterFileSystem: There is no server for ServerFileSystem domain storage234,hpc
NIFF: node <*> detected a failed network connection on network <*> via interface <*>,"['NIFF', ':', 'node', '<*>', 'detected', 'a', 'failed', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', '<*>']","{14: 'Object::ComputingResource', 11: 'Location::IP-Port::IP', 3: 'Object::ComputingResource'}",NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,hpc
ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,"['ServerFileSystem', ':', 'An', 'ServerFileSystem', 'domain', 'panic', 'has', 'occurred', 'on', '<*>']",{9: 'Object::ComputingResource'},ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,hpc
Fan speeds ( <*> <*> <*> <*> <*> <*> ),"['Fan', 'speeds', '(', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')']","{3: 'Object::ValueExpression', 4: 'Object::ValueExpression', 5: 'Object::ValueExpression', 6: 'Object::ValueExpression', 7: 'Object::ValueExpression', 8: 'Object::ValueExpression'}",Fan speeds ( 3552 3534 3375 **** 3515 3479 ),hpc
Command has been aborted,"['Command', 'has', 'been', 'aborted']",{},Command has been aborted,hpc
power/control problem,"['power/control', 'problem']",{},power/control problem,hpc
Link error,"['Link', 'error']",{},Link error,hpc
Link in reset,"['Link', 'in', 'reset']",{},Link in reset,hpc
Link ok,"['Link', 'ok']",{},Link ok,hpc
Link error on broadcast tree <*><*><*><*><*><*><*>,"['Link', 'error', 'on', 'broadcast', 'tree', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']","{5: 'Object::ComputingResource', 6: 'Object::ComputingResource', 7: 'Object::ComputingResource', 8: 'Object::ComputingResource', 9: 'Object::ComputingResource', 10: 'Object::ComputingResource', 11: 'Object::ComputingResource'}",Link error on broadcast tree Interconnect-0T00:00:2:1,hpc
ServerFileSystem: ServerFileSystem domain <*> is full,"['ServerFileSystem', ':', 'ServerFileSystem', 'domain', '<*>', 'is', 'full']",{4: 'Object::ComputingResource'},ServerFileSystem: ServerFileSystem domain root14_local is full,hpc
ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,"['ClusterFileSystem', ':', 'ServerFileSystem', 'domain', '<*>', 'is', 'no', 'longer', 'served', 'by', 'node', '<*>']","{11: 'Object::ComputingResource', 4: 'Object::ComputingResource'}",ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,hpc
running,['running'],{},running,hpc
blocked,['blocked'],{},blocked,hpc
not responding,"['not', 'responding']",{},not responding,hpc
configured out,"['configured', 'out']",{},configured out,hpc
inconsistent nodesets <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok>,"['inconsistent', 'nodesets', '<*>', '<*>', '<', 'ok', '>', '<*>', '<*>', '<', 'ok', '>', '<*>', '<*>', '<', 'ok', '>', '<*>', '<*>', '<', 'ok', '>']","{2: 'Object::ValueExpression', 3: 'Object::ValueExpression', 7: 'Object::ComputingResource', 12: 'Object::ComputingResource', 17: 'Object::ComputingResource'}",inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,hpc
active,['active'],{},active,hpc
not-responding,['not-responding'],{},not-responding,hpc
starting,['starting'],{},starting,hpc
closing,['closing'],{},closing,hpc
normal,['normal'],{},normal,hpc
warning,['warning'],{},warning,hpc
ambient=<*>,"['ambient', '=', '<*>']",{},ambient=30,hpc
critical,['critical'],{},critical,hpc
Linkerror event interval expired,"['Linkerror', 'event', 'interval', 'expired']",{},Linkerror event interval expired,hpc
risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,"['risBoot', '(', 'command', '1903', ')', 'Error', ':', 'Timed', 'out', 'while', 'waiting', 'for', 'SRM', 'prompt', ':', '<', 'ABORT', 'code', 'completed', '>']",{},risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,hpc
boot (command 2092) Error: HALT asserted\  cannot continue,"['boot', '(', 'command', '2092', ')', 'Error', ':', 'HALT', 'asserted\\', 'cannot', 'continue']",{},boot (command 2092) Error: HALT asserted\  cannot continue,hpc
Failed subcommands 3406,"['Failed', 'subcommands', '3406']",{},Failed subcommands 3406,hpc
link errors remain current,"['link', 'errors', 'remain', 'current']",{},link errors remain current,hpc
NIFF: node <*> has detected an available network connection on network <*> via interface <*>,"['NIFF', ':', 'node', '<*>', 'has', 'detected', 'an', 'available', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', '<*>']","{3: 'Object::ComputingResource', 12: 'Location::IP-Port::IP', 15: 'Object::ComputingResource'}",NIFF: node node-129 has detected an available network connection on network 10.128.0.0 via interface ee0,hpc
Notification time out: <*>,"['Notification', 'time', 'out', ':', '<*>']",{4: 'Object::ValueExpression'},Notification time out: 3200,zookeeper
Received connection request <*>:<*>,"['Received', 'connection', 'request', '<*>', ':', '<*>']","{3: 'Location::IP-Port::IP', 5: 'Location::IP-Port::Port'}",Received connection request /10.10.34.11:45307,zookeeper
Send worker leaving thread,"['Send', 'worker', 'leaving', 'thread']",{},Send worker leaving thread,zookeeper
Interrupted while waiting for message on queue,"['Interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",{},Interrupted while waiting for message on queue,zookeeper
"Connection broken for id <*>, my id = <*>, error =","['Connection', 'broken', 'for', 'id', '<*>', ',', 'my', 'id', '=', '<*>', ',', 'error', '=']",{4: 'Object::Session'},"Connection broken for id 188978561024, my id = 1, error =",zookeeper
Interrupting SendWorker,"['Interrupting', 'SendWorker']",{},Interrupting SendWorker,zookeeper
Closed socket connection for client <*>:<*> which had sessionid <*>,"['Closed', 'socket', 'connection', 'for', 'client', '<*>', ':', '<*>', 'which', 'had', 'sessionid', '<*>']","{5: 'Location::IP-Port::IP', 7: 'Location::IP-Port::Port', 11: 'Object::Session'}",Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,zookeeper
caught end of stream exception,"['caught', 'end', 'of', 'stream', 'exception']",{},caught end of stream exception,zookeeper
Client attempting to renew session <*> at <*>:<*>,"['Client', 'attempting', 'to', 'renew', 'session', '<*>', 'at', '<*>', ':', '<*>']","{5: 'Object::Session', 7: 'Location::IP-Port::IP', 9: 'Location::IP-Port::Port'}",Client attempting to renew session 0x24ed93119420016 at /10.10.34.13:37115,zookeeper
Client attempting to establish new session at <*>:<*>,"['Client', 'attempting', 'to', 'establish', 'new', 'session', 'at', '<*>', ':', '<*>']","{7: 'Location::IP-Port::IP', 9: 'Location::IP-Port::Port'}",Client attempting to establish new session at /10.10.34.19:33425,zookeeper
Established session <*> with negotiated timeout <*> for client <*>:<*>,"['Established', 'session', '<*>', 'with', 'negotiated', 'timeout', '<*>', 'for', 'client', '<*>', ':', '<*>']","{2: 'Object::Session', 6: 'Time::Duration', 9: 'Location::IP-Port::IP', 11: 'Location::IP-Port::Port'}",Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,zookeeper
Accepted socket connection from <*>:<*>,"['Accepted', 'socket', 'connection', 'from', '<*>', ':', '<*>']","{4: 'Location::IP-Port::IP', 6: 'Location::IP-Port::Port'}",Accepted socket connection from /10.10.34.13:37196,zookeeper
Connection request from old client <*>:<*>; will be dropped if server is in r-o mode,"['Connection', 'request', 'from', 'old', 'client', '<*>', ':', '<*>', ';', 'will', 'be', 'dropped', 'if', 'server', 'is', 'in', 'r-o', 'mode']","{5: 'Location::IP-Port::IP', 7: 'Location::IP-Port::Port'}",Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,zookeeper
Server environment:<*>=<*>,"['Server', 'environment', ':', '<*>', '=', '<*>']",{5: 'Location::Path'},Server environment:user.dir=/,zookeeper
Cannot open channel to <*> at election address <*>:<*>,"['Cannot', 'open', 'channel', 'to', '<*>', 'at', 'election', 'address', '<*>', ':', '<*>']","{4: 'Object::ValueExpression', 8: 'Location::IP-Port::IP', 10: 'Location::IP-Port::Port'}",Cannot open channel to 2 at election address /10.10.34.12:3888,zookeeper
Processed session termination for sessionid: <*>,"['Processed', 'session', 'termination', 'for', 'sessionid', ':', '<*>']",{6: 'Object::Session'},Processed session termination for sessionid: 0x14ede63a5a70002,zookeeper
"Expiring session <*>, timeout of <*> exceeded","['Expiring', 'session', '<*>', ',', 'timeout', 'of', '<*>', 'exceeded']","{2: 'Object::Session', 6: 'Time::Duration'}","Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded",zookeeper
******* GOODBYE <*>:<*> ********,"['*******', 'GOODBYE', '<*>', ':', '<*>', '********']","{2: 'Location::IP-Port::IP', 4: 'Location::IP-Port::Port'}",******* GOODBYE /10.10.34.12:35276 ********,zookeeper
